SID,NAME,ISO_TIME,LAT,LON,WMO_WIND,WMO_PRES,BASIN,SEASON,NUMBER,dist_to_pr_km,impact_next30,distance_km_poly,sst_current,sst_anom,sst_climo,merra_slp,merra_t2m,merra_rh2m,merra_u10,merra_v10,year,month,nino34,amo
1996248N15319,HORTENSE,1996-09-03 12:00:00,14.9,-41.0,25,1006,,1996,75,2750.000319100978,0,2645.8110725995293,27.111000061035156,-0.36113548278808594,27.54741096496582,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-03 15:00:00,14.9,-41.9, , ,,1996,75,2655.184315924901,0,2546.56468370081,27.130998611450195,-0.3859233856201172,27.594379425048828,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-03 18:00:00,14.9,-42.7,30,1006,,1996,75,2570.94765922769,0,2458.4097678702396,27.341665267944336,-0.22419357299804688,27.666086196899414,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-03 21:00:00,14.9,-43.4, , ,,1996,75,2497.2794417558616,0,2381.322712615294,27.470333099365234,-0.1394329071044922,27.666086196899414,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-04 00:00:00,14.8,-44.1,30,1006,,1996,75,2425.9662071151533,0,2306.052158888872,27.409000396728516,-0.24522972106933594,27.70469093322754,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-04 03:00:00,14.7,-44.8, , ,,1996,75,2354.815234622743,0,2231.022354871361,27.497333526611328,-0.2700634002685547,27.79728889465332,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-04 06:00:00,14.7,-45.4,30,1006,,1996,75,2291.8513416036185,0,2165.2002131447944,27.50666618347168,-0.3025016784667969,27.79728889465332,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-04 09:00:00,14.6,-46.0, , ,,1996,75,2231.4512705457287,0,2101.514752656802,27.4963321685791,-0.3693962097167969,27.875476837158203,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-04 12:00:00,14.6,-46.6,30,1006,,1996,75,2168.6267808347184,0,2035.888010796413,27.534332275390625,-0.3589591979980469,27.931453704833984,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-04 15:00:00,14.6,-47.1, , ,,1996,75,2116.318772323976,0,1981.2585366873911,27.637666702270508,-0.2852764129638672,27.931453704833984,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-04 18:00:00,14.7,-47.5,30,1006,,1996,75,2071.8790632996324,0,1935.345969158445,27.676666259765625,-0.2821979522705078,28.005985260009766,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-04 21:00:00,14.8,-47.9, , ,,1996,75,2027.4601186596635,0,1889.4361769689503,27.53333282470703,-0.4038047790527344,28.005985260009766,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-05 00:00:00,14.9,-48.4,30,1006,,1996,75,1972.604306588672,0,1832.6013076359125,27.407665252685547,-0.5632457733154297,28.005985260009766,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-05 03:00:00,14.9,-48.9, , ,,1996,75,1920.343146197526,0,1777.998481916056,27.5,-0.5048637390136719,28.07013702392578,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-05 06:00:00,14.8,-49.5,30,1006,,1996,75,1860.3865397727957,0,1714.9563108470531,27.730998992919922,-0.34122657775878906,28.149938583374023,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-05 09:00:00,14.7,-50.3, , ,,1996,75,1779.9086303516233,0,1630.6068609825547,27.66499900817871,-0.5106353759765625,28.149938583374023,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-05 12:00:00,14.5,-51.1,30,1006,,1996,75,1702.9330755636213,0,1549.7129711502862,27.877666473388672,-0.40673255920410156,28.255735397338867,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-05 15:00:00,14.4,-51.9, , ,,1996,75,1623.5906643814135,0,1466.8325041689654,27.86699867248535,-0.48521995544433594,28.34714126586914,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-05 18:00:00,14.3,-52.6,30,1006,,1996,75,1555.1055480809912,0,1395.4387967667487,27.869665145874023,-0.5502376556396484,28.43726921081543,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-05 21:00:00,14.3,-53.2, , ,,1996,75,1493.783372984222,0,1331.8073351230844,28.01533317565918,-0.44576454162597656,28.43726921081543,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-06 00:00:00,14.4,-53.6,30,1006,,1996,75,1449.4076716621394,0,1285.91788119779,28.1336669921875,-0.35689735412597656,28.495038986206055,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-06 03:00:00,14.5,-54.0, , ,,1996,75,1405.052058791504,0,1240.0339896367302,28.132665634155273,-0.3871021270751953,28.495038986206055,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-06 06:00:00,14.6,-54.3,30,1006,,1996,75,1370.9026436757292,0,1204.715326947765,28.128000259399414,-0.37883949279785156,28.495038986206055,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-06 09:00:00,14.7,-54.7, , ,,1996,75,1326.5813227831554,0,1158.8352307031992,28.124666213989258,-0.3972492218017578,28.55258560180664,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-06 12:00:00,14.7,-55.1,30,1006,,1996,75,1285.912834423261,0,1116.706720650013,28.122665405273438,-0.4323902130126953,28.55258560180664,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-06 15:00:00,14.8,-55.4, , ,,1996,75,1251.7913345839324,0,1081.382939801747,28.029998779296875,-0.53076171875,28.55258560180664,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-06 18:00:00,14.9,-55.7,30,1006,,1996,75,1217.6837287552692,0,1046.0574281003185,27.96466636657715,-0.6176567077636719,28.63576889038086,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-06 21:00:00,15.1,-56.3, , ,,1996,75,1149.5108276817814,0,975.4011593512104,28.111331939697266,-0.5218887329101562,28.579505920410156,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-07 00:00:00,15.2,-57.0,30,1006,,1996,75,1074.9183546642505,0,898.1323566179149,28.100332260131836,-0.5985088348388672,28.659902572631836,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-07 03:00:00,15.3,-57.7, , ,,1996,75,1000.5110256338096,0,821.0927030631086,28.167999267578125,-0.5558872222900391,28.746280670166016,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-07 06:00:00,15.4,-58.3,35,1005,,1996,75,936.344737016296,0,754.7215752276222,28.270666122436523,-0.5002975463867188,28.746280670166016,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-07 09:00:00,15.5,-59.0, , ,,1996,75,862.3658251220307,0,678.4071717980642,28.28966522216797,-0.5124855041503906,28.78407096862793,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-07 12:00:00,15.6,-59.6,40,1004,,1996,75,798.6034385502599,0,612.7859766428058,28.218666076660156,-0.5937061309814453,28.844579696655273,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-07 15:00:00,15.7,-60.0, , ,,1996,75,754.7857771384753,0,567.5881507315331,28.363332748413086,-0.4840278625488281,28.844579696655273,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-07 18:00:00,15.8,-60.4,40,1000,,1996,75,711.0279586541565,0,522.4842369628163,28.39699935913086,-0.45560264587402344,28.844579696655273,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-07 21:00:00,16.0,-60.8, , ,,1996,75,662.9681923289455,0,472.30781158735414,28.48466682434082,-0.4147529602050781,28.93948745727539,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-08 00:00:00,16.1,-61.2,50,996,,1996,75,619.2688916395084,0,427.358480670785,28.439666748046875,-0.46761322021484375,28.863849639892578,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-08 03:00:00,16.1,-61.6, , ,,1996,75,580.2050753453797,0,388.4257800309189,28.642000198364258,-0.32554054260253906,28.97422218322754,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-08 06:00:00,16.1,-62.0,55,996,,1996,75,541.6570122143436,0,350.5738342204738,28.65166664123535,-0.3664398193359375,28.97422218322754,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-08 09:00:00,16.1,-62.4, , ,,1996,75,503.74330031029336,0,314.3178397427108,28.602333068847656,-0.4265117645263672,28.97422218322754,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-08 12:00:00,16.1,-62.8,60,996,,1996,75,466.6187730410112,0,280.0763223602266,28.434999465942383,-0.6153202056884766,29.03211784362793,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-08 15:00:00,16.1,-63.2, , ,,1996,75,430.4878307196506,0,248.53135324866375,28.439332962036133,-0.6180000305175781,29.03211784362793,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-08 18:00:00,16.1,-63.6,60,991,,1996,75,395.6229639342998,0,220.6190125573686,28.56133270263672,-0.5025749206542969,29.048648834228516,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-08 21:00:00,16.1,-63.9, , ,,1996,75,370.5208261047274,0,202.8536065274995,28.625,-0.4421958923339844,29.048648834228516,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-09 00:00:00,16.1,-64.1,60,990,,1996,75,354.39098482835755,0,192.88183265790923,28.66266632080078,-0.40549659729003906,29.048648834228516,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-09 03:00:00,16.1,-64.3, , ,,1996,75,338.82604301411783,0,184.60084293046657,28.67799949645996,-0.3888092041015625,29.048648834228516,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-09 06:00:00,16.1,-64.5,70,987,,1996,75,323.90746507161305,0,178.17691311665843,28.649999618530273,-0.4154548645019531,29.039974212646484,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-09 09:00:00,16.2,-64.7, , ,,1996,75,301.3135087874293,0,162.3259188241616,28.649999618530273,-0.4154548645019531,29.039974212646484,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-09 12:00:00,16.3,-65.0,70,985,,1996,75,272.257271557833,0,148.04156219338066,28.611331939697266,-0.4375438690185547,29.039974212646484,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-09 15:00:00,16.4,-65.3, , ,,1996,75,244.43028272545317,0,139.4176500731966,28.618331909179688,-0.43271446228027344,29.039974212646484,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-09 18:00:00,16.6,-65.6,70,990,,1996,75,208.60377073219612,0,114.15075663927756,28.593332290649414,-0.4520111083984375,29.05225372314453,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-09 21:00:00,16.8,-65.8, , ,,1996,75,178.82616707552404,0,87.19236945805298,28.525999069213867,-0.5217266082763672,29.05225372314453,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-10 00:00:00,17.1,-66.1,70,989,,1996,75,135.01255596889985,0,45.91872702026921,28.483999252319336,-0.5705184936523438,29.049501419067383,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-10 03:00:00,17.6,-66.5, , ,,1996,75,69.68496542180877,1,0.0,28.420331954956055,-0.6463584899902344,29.096113204956055,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-10 06:00:00,18.0,-66.9,70,989,,1996,75,40.93281684217856,1,0.0,28.51999855041504,-0.5404834747314453,29.096113204956055,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-10 09:00:00,18.2,-67.4, , ,,1996,75,85.57749819984744,1,0.0,28.70433235168457,-0.3268585205078125,29.02466583251953,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-10 12:00:00,18.3,-67.8,65,989,,1996,75,128.06279740382857,1,0.0,28.44933319091797,-0.5363121032714844,28.969486236572266,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-10 15:00:00,18.6,-68.1, , ,,1996,75,164.78528253262903,0,4.081150982022381,28.224332809448242,-0.7364692687988281,28.969486236572266,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-10 18:00:00,18.9,-68.4,65,990,,1996,75,205.18672858937651,0,50.152077804985154,28.192333221435547,-0.7478275299072266,28.969486236572266,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-10 21:00:00,19.2,-68.7, , ,,1996,75,247.44913067917105,0,97.8175353886582,28.301998138427734,-0.6131591796875,28.869468688964844,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-11 00:00:00,19.5,-68.9,70,982,,1996,75,281.6127554364935,0,139.6082200873979,28.407333374023438,-0.4784564971923828,28.869468688964844,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-11 03:00:00,19.8,-69.2, , ,,1996,75,325.74731932512447,0,187.8263957366298,28.28499984741211,-0.5862445831298828,28.869468688964844,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-11 06:00:00,20.1,-69.5,75,975,,1996,75,370.2249268105296,0,236.28810663432543,28.29166603088379,-0.5992927551269531,28.913755416870117,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-11 09:00:00,20.5,-69.8, , ,,1996,75,421.42667105459515,0,294.2986676339981,28.268665313720703,-0.6366653442382812,28.913755416870117,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-11 12:00:00,20.9,-70.1,90,971,,1996,75,473.2448934777001,0,352.41262455151247,28.143665313720703,-0.7533855438232422,28.913755416870117,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-11 15:00:00,21.3,-70.4, , ,,1996,75,525.4807578299759,0,410.63797121609736,28.271665573120117,-0.6091289520263672,28.851099014282227,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-11 18:00:00,21.6,-70.6,95,970,,1996,75,562.9043300185795,0,452.733549891643,28.268665313720703,-0.6149635314941406,28.910396575927734,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-11 21:00:00,22.0,-70.9, , ,,1996,75,615.6263584896711,0,511.1605074875495,28.208332061767578,-0.6788406372070312,28.910396575927734,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-12 00:00:00,22.3,-71.1,100,967,,1996,75,653.3904466698797,0,553.4275910453057,28.13399887084961,-0.7439002990722656,28.865278244018555,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-12 03:00:00,22.6,-71.3, , ,,1996,75,691.2698444231129,0,595.7734505664021,28.109333038330078,-0.7694358825683594,28.865278244018555,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-12 06:00:00,23.0,-71.4,105,962,,1996,75,729.9245730147483,0,641.882510578607,28.097000122070312,-0.7796592712402344,28.865278244018555,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-12 09:00:00,23.4,-71.6, , ,,1996,75,776.232862100865,0,694.5924833416598,28.060998916625977,-0.8133621215820312,28.8734073638916,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-12 12:00:00,23.9,-71.8,115,959,,1996,75,831.0747940011598,0,757.817128054239,27.8626651763916,-0.9929447174072266,28.8734073638916,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-12 15:00:00,24.3,-71.9, , ,,1996,75,871.3652044208518,0,805.2707174304273,27.659666061401367,-1.172750473022461,28.828052520751953,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-12 18:00:00,24.7,-71.8,115,946,,1996,75,899.5873803002867,0,842.129516452624,27.61433219909668,-1.2042770385742188,28.828052520751953,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-12 21:00:00,25.3,-71.7, , ,,1996,75,947.3981897405642,0,902.5140718047816,27.75666618347168,-1.0070075988769531,28.76629066467285,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-13 00:00:00,25.9,-71.5,120,935,,1996,75,992.2457800254912,0,958.0493046603818,27.59233283996582,-1.1310901641845703,28.76629066467285,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-13 03:00:00,26.5,-71.5, , ,,1996,75,1049.6431706688932,0,1025.2234223311373,27.43000030517578,-1.2511978149414062,28.68714141845703,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-13 06:00:00,27.2,-71.4,115,942,,1996,75,1113.3358704783848,0,1100.969022371478,27.292333602905273,-1.3159866333007812,28.56555938720703,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-13 09:00:00,28.0,-71.2, , ,,1996,75,1184.843994554322,0,1186.9595993575456,27.060665130615234,-1.439901351928711,28.56555938720703,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-13 12:00:00,29.0,-70.9,100,948,,1996,75,1276.143004735208,0,1295.3968981973137,26.76966667175293,-1.5074443817138672,28.38055419921875,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-13 15:00:00,30.0,-70.6, , ,,1996,75,1371.2148110399835,0,1408.2746162630212,26.099332809448242,-1.9085769653320312,28.116479873657227,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-13 18:00:00,31.0,-70.3,100,948,,1996,75,1469.3165880670724,0,1525.4064621317912,25.741666793823242,-1.9759464263916016,27.81747817993164,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-13 21:00:00,32.1,-69.9, , ,,1996,75,1578.5520658998155,0,1657.1107627353172,25.592998504638672,-1.7680892944335938,27.278154373168945,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-14 00:00:00,33.3,-69.5,90,948,,1996,75,1701.6187562866764,0,1806.5742642857415,25.892332077026367,-1.2255115509033203,27.068700790405273,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-14 03:00:00,34.6,-69.0, , ,,1996,75,1836.842112765061,0,1972.7779827265192,25.724666595458984,-1.2224349975585938,26.97553062438965,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-14 06:00:00,35.9,-68.4,90,955,,1996,75,1973.8742140176903,0,2143.7015790880696,25.510332107543945,-1.2719612121582031,26.855037689208984,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-14 09:00:00,37.1,-67.8, , ,,1996,75,2102.594378249821,0,2306.368808603783,25.577333450317383,-1.184743881225586,26.79581642150879,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-14 12:00:00,38.5,-67.1,85,960,,1996,75,2255.485197749683,0,2502.2704571283693,24.4776668548584,-1.142324447631836,25.483366012573242,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-14 15:00:00,40.3,-66.2, , ,,1996,75,2455.379598230367,0,2763.2915635594973,19.9516658782959,-2.6190013885498047,22.460477828979492,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-14 18:00:00,42.0,-65.2,75,960,,1996,75,2647.4069539402703,0,3018.4453916145917,17.042333602905273,-1.6334056854248047,20.041484832763672,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-14 21:00:00,43.4,-64.2, , ,,1996,75,2808.776502706857,0,3236.780954581062,16.097000122070312,-0.5860366821289062,16.59380531311035,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-15 00:00:00,44.3,-63.3,70,970,,1996,75,2916.071193121683,0,3383.1972394986255,16.229665756225586,-0.43066978454589844,16.793785095214844,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-15 03:00:00,44.8,-62.5,70,978,,1996,75,2979.8214900832104,0,3469.8786145332556,,,16.793785095214844,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-15 06:00:00,45.5,-61.5,65,980,,1996,75,3069.6043025550875,0,3593.059764793563,,,16.956565856933594,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-15 09:00:00,46.0,-60.5, , ,,1996,75,3139.4307511169736,0,3688.451021202476,,,16.548141479492188,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-15 12:00:00,46.3,-59.1,60,982,,1996,75,3197.2302401212846,0,3762.7347649840945,14.200332641601562,-0.9666337966918945,14.942239761352539,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-15 15:00:00,46.2,-56.9, , ,,1996,75,3236.2205064983973,0,3798.510899755365,14.162666320800781,-0.8346939086914062,14.739324569702148,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-15 18:00:00,46.0,-55.0,40,996,,1996,75,3268.059649715201,0,3824.160197394663,13.847000122070312,-0.7738428115844727,14.974396705627441,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-15 21:00:00,46.0,-54.5, , ,,1996,75,3283.3645213239333,0,3840.905953636789,13.83466625213623,-0.6615800857543945,14.974396705627441,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-16 00:00:00,46.0,-54.0,40,998,,1996,75,3299.2371790982456,0,3858.382029885418,8.868063926696777,-5.487765312194824,14.873278617858887,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-16 03:00:00,45.6,-52.4, , ,,1996,75,3314.3900722486883,0,3859.379680608258,10.095806121826172,-4.7932024002075195,15.050260543823242,,,,,,1996,9,26.27,-0.02
1996248N15319,HORTENSE,1996-09-16 06:00:00,45.0,-50.0,35,999,,1996,75,3351.557277834012,0,3878.8566340829175,9.92967700958252,-5.09525203704834,15.247570991516113,,,,,,1996,9,26.27,-0.02
1998259N10335,GEORGES,1998-09-15 12:00:00,9.7,-25.1,30,1009,,1998,62,4565.666442605714,0,4492.628978678828,27.54166603088379,-0.3005962371826172,27.846364974975586,,,,,,1998,9,25.46,0.394
1998259N10335,GEORGES,1998-09-15 15:00:00,9.7,-25.8, , ,,1998,62,4492.185357111432,0,4416.4707069877295,27.581998825073242,-0.29027748107910156,27.883907318115234,,,,,,1998,9,25.46,0.394
1998259N10335,GEORGES,1998-09-15 18:00:00,9.8,-26.5,30,1009,,1998,62,4415.528574327062,0,4337.935682102676,27.45433235168457,-0.4355926513671875,27.937559127807617,,,,,,1998,9,25.46,0.394
1998259N10335,GEORGES,1998-09-15 21:00:00,9.9,-27.3, , ,,1998,62,4328.408246977088,0,4248.539026902669,27.4429988861084,-0.4569854736328125,27.937559127807617,,,,,,1998,9,25.46,0.394
1998259N10335,GEORGES,1998-09-16 00:00:00,10.0,-28.1,30,1009,,1998,62,4241.320143048055,0,4159.157678731974,28.129032135009766,0.23490333557128906,27.92360496520996,,,,,,1998,9,25.46,0.394
1998259N10335,GEORGES,1998-09-16 03:00:00,10.1,-28.9, , ,,1998,62,4154.265474100342,0,4069.7926667325687,27.941612243652344,0.051731109619140625,27.85640525817871,,,,,,1998,9,25.46,0.394
1998259N10335,GEORGES,1998-09-16 06:00:00,10.3,-29.7,30,1009,,1998,62,4064.025481541127,0,3977.941596982581,27.83612823486328,-0.06384849548339844,27.908967971801758,,,,,,1998,9,25.46,0.394
1998259N10335,GEORGES,1998-09-16 09:00:00,10.4,-30.5, , ,,1998,62,3977.034526442776,0,3888.587327779482,27.880643844604492,-0.06364822387695312,27.950000762939453,,,,,,1998,9,25.46,0.394
1998259N10335,GEORGES,1998-09-16 12:00:00,10.6,-31.3,35,1005,,1998,62,3886.8705899471192,0,3796.7276733416065,28.07806396484375,0.12164306640625,27.950000762939453,,,,,,1998,9,25.46,0.394
1998259N10335,GEORGES,1998-09-16 15:00:00,10.8,-32.1, , ,,1998,62,3796.754812036827,0,3704.8662110755586,28.07741928100586,0.11482620239257812,27.99064826965332,,,,,,1998,9,25.46,0.394
1998259N10335,GEORGES,1998-09-16 18:00:00,11.0,-32.9,35,1003,,1998,62,3706.688311999162,0,3613.003016325283,28.08774185180664,0.12624359130859375,27.984678268432617,,,,,,1998,9,25.46,0.394
1998259N10335,GEORGES,1998-09-16 21:00:00,11.1,-33.7, , ,,1998,62,3619.8255881298983,0,3523.6463383848827,27.729354858398438,-0.22320938110351562,27.927961349487305,,,,,,1998,9,25.46,0.394
1998259N10335,GEORGES,1998-09-17 00:00:00,11.3,-34.6,45,1000,,1998,62,3519.383655109723,0,3420.9203543932776,27.734838485717773,-0.21412086486816406,27.942502975463867,,,,,,1998,9,25.46,0.394
1998259N10335,GEORGES,1998-09-17 03:00:00,11.5,-35.4, , ,,1998,62,3429.452495151963,0,3329.044199969788,27.843225479125977,-0.13128280639648438,27.942502975463867,,,,,,1998,9,25.46,0.394
1998259N10335,GEORGES,1998-09-17 06:00:00,11.7,-36.3,50,997,,1998,62,3329.121594582384,0,3226.3110251854337,27.794837951660156,-0.1855297088623047,27.991737365722656,,,,,,1998,9,25.46,0.394
1998259N10335,GEORGES,1998-09-17 09:00:00,11.9,-37.2, , ,,1998,62,3228.8494082454063,0,3123.5742034949644,27.74774169921875,-0.20908737182617188,28.007360458374023,,,,,,1998,9,25.46,0.394
1998259N10335,GEORGES,1998-09-17 12:00:00,12.0,-38.1,55,994,,1998,62,3131.736590724716,0,3023.381243217377,27.510000228881836,-0.5062961578369141,28.07632064819336,,,,,,1998,9,25.46,0.394
1998259N10335,GEORGES,1998-09-17 15:00:00,12.2,-39.0, , ,,1998,62,3031.5687673729008,0,2920.6397013603446,27.460643768310547,-0.5756683349609375,27.96290397644043,,,,,,1998,9,25.46,0.394
1998259N10335,GEORGES,1998-09-17 18:00:00,12.3,-40.0,65,987,,1998,62,2924.1377047098345,0,2809.65716972391,27.39870834350586,-0.634124755859375,28.00261116027832,,,,,,1998,9,25.46,0.394
1998259N10335,GEORGES,1998-09-17 21:00:00,12.4,-41.0, , ,,1998,62,2816.797952976287,0,2698.7494549198304,27.504192352294922,-0.5588607788085938,28.02396583557129,,,,,,1998,9,25.46,0.394
1998259N10335,GEORGES,1998-09-18 00:00:00,12.5,-42.0,70,984,,1998,62,2709.557444102,0,2587.9262240642165,27.596450805664062,-0.5269889831542969,28.086944580078125,,,,,,1998,9,25.46,0.394
1998259N10335,GEORGES,1998-09-18 03:00:00,12.6,-43.0, , ,,1998,62,2602.4252897675005,0,2477.179620631493,27.680967330932617,-0.4384498596191406,28.14310646057129,,,,,,1998,9,25.46,0.394
1998259N10335,GEORGES,1998-09-18 06:00:00,12.8,-43.9,80,977,,1998,62,2502.542582970423,0,2374.457445621184,27.67258071899414,-0.42380714416503906,28.201839447021484,,,,,,1998,9,25.46,0.394
1998259N10335,GEORGES,1998-09-18 09:00:00,12.9,-44.8, , ,,1998,62,2405.959029733777,0,2274.592832022256,27.788063049316406,-0.3799552917480469,28.27898406982422,,,,,,1998,9,25.46,0.394
1998259N10335,GEORGES,1998-09-18 12:00:00,13.1,-45.7,85,973,,1998,62,2306.2066375077206,0,2171.8850765372435,27.655805587768555,-0.4977569580078125,28.07314109802246,,,,,,1998,9,25.46,0.394
